preco,condominio,iptu,bairro,cidade,estado,cep,metragem,quartos,banheiros,vagas,caracteristicas_imovel,caracteristicas_condominio
235000.0,350.0,0.0,Centro,Curitiba,PR,80230080,37,1,1,0,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Academia']","['Portaria', 'Portão eletrônico', 'Academia', 'Elevador']"
130000.0,352.0,0.0,Cidade Industrial,Curitiba,PR,81450280,50,2,1,1,['Porteiro 24h'],"['Salão de festas', 'Portaria', 'Permitido animais']"
448000.0,375.0,0.0,Cristo Rei,Curitiba,PR,80050380,66,2,2,1,"['Churrasqueira', 'Armários na cozinha', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Piscina', 'Academia', 'Salão de festas']"
590000.0,50.0,50.0,Juvevê,Curitiba,PR,80040132,64,2,2,1,"['Varanda', 'Mobiliado', 'Churrasqueira', 'Área de serviço']","['Permitido animais', 'Portão eletrônico', 'Elevador', 'Condomínio fechado']"
470000.0,400.0,690.0,Água Verde,Curitiba,PR,80620400,95,2,3,1,['Churrasqueira'],"['Portão eletrônico', 'Salão de festas', 'Condomínio fechado']"
450000.0,570.0,650.0,Centro,Curitiba,PR,80060120,66,2,1,1,"['Porteiro 24h', 'Churrasqueira', 'Armários na cozinha']","['Salão de festas', 'Portaria', 'Elevador', 'Permitido animais']"
1500000.0,2000.0,2400.0,Batel,Curitiba,PR,80420170,160,3,5,2,"['Ar condicionado', 'Mobiliado', 'Churrasqueira']","['Portão eletrônico', 'Salão de festas', 'Condomínio fechado']"
259000.0,400.0,0.0,Fazendinha,Curitiba,PR,81320185,51,3,1,1,"['Armários no quarto', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Portão eletrônico']"
239900.0,350.0,0.0,Bigorrilho,Curitiba,PR,80730030,20,1,1,0,"['Churrasqueira', 'Área de serviço']","['Portão eletrônico', 'Elevador']"
729000.0,900.0,1500.0,Alto da Glória,Curitiba,PR,80030270,92,3,3,2,"['Churrasqueira', 'Academia']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
